fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
other,01.01.2009,31.12.2009,Driving Entrepreneurship & Innovation Mentoring 2009/M2,One-2-one mentoring with start up clients to develope their entrepreneurship and innovation skills to develope their businesses,2775.23,Cork County
other,01.01.2008,31.12.2009,La Rochelle Boat Show 10-15 Sept 2008/M2,"Trade Visit with CCC to showcase a number of Cork businesses at the La Rochelle Boat Show, France.",3295,Cork County
other,01.01.2009,31.12.2009,Strategic Innovation Fund 2009/M2,The SIF/ACE (Accelerating Campus Entrepreneurship) Programme is a third level enterprise education support to promote entrepreneurship mainly in the non-business disciplines within CIT (eg in the engineering and medical device schools etc),2500,Cork County
other,01.01.2009,31.12.2012,Web Optimisation /M2,Computers and Information Technology Training on Website Optimisation for clients who have an online website and who want to get more from their site which can lead to more sales and profits.,7947.27,Cork County
other,01.01.2011,31.12.2013,Mentoring 6021 Q2/M2,Mentoring of Clients - Initial start-up mentoring. Quarter 2,30165.35,Cork County
other,01.01.2009,31.12.2013,Basics of Selling on eBay /M2,"Computers and Information Technology Training on Basics of Selling on eBay on the internet, the clients were from the Information Technology, Food, Craft, Engineering and Industrial sectors.",1286.6,Cork County
other,01.01.2009,31.12.2013,Insufficient Funds - You or Your Bank /M2,Financial Training for businesses who are facing working capaital funding shortages,1375,Cork County
other,01.01.2009,31.12.2013,Finance for non Financial Managers /M2,Financial Training for  non Financial Managers,4097.76,Cork County
other,01.01.2009,31.12.2013,Pricing it 'Right' /M2,Financial Training for businesses around pricing their product or service.,238.8,Cork County
other,01.01.2009,31.12.2013,Possibility 2009 /M2,Personal Development Training for start businesses to explore new opportunities in the marketplace.,1984.5,Cork County
other,01.01.2009,31.12.2013,Franchising/M2,Specialised Training on how businesses could Franchise their product or service. Clients who had products and services who wanted to get them franchised and who were interested in taking out new franchises.,2069.41,Cork County
other,01.01.2009,31.12.2013,Macroom E Business Bus. Dev. /M2,"Management Development Training Programme for clients based in Macroom E enterprise centre, the training covers HR, Strategic Planning, Financial Mangement,Strategic Marketing and Selling.",2456.32,Cork County
other,01.01.2009,31.12.2013,Doing Business in China /M2,Information event which covered businesses who are interested in looking at sourcing raw materials to decrease their costs and also looking at export opportunities to China.,624.4,Cork County
other,01.01.2009,31.12.2012,Network of Enterprising Women /M2,The Board host regular networking events to facilitate women in business introductions and have invited guest speakers to address the network to share their experiences of running a successful business.,35762.42,Cork County
other,01.01.2009,31.12.2013,Sage 50 Accounts /M2,Financial Training on Sage 50 accounting package for clients.,4570,Cork County
other,01.01.2009,31.12.2013,GreenShoots /M2,"Management Development Training programme for businesses who have setup new businesses in the Macroom area, training on Business Plans, Marketing, Selling skills and HR.",215663.28,Cork County
other,01.01.2009,31.12.2013,National Enterprise Awards /M2,The National Enterprise Awards that are hosted in Dublin Castle every year to promote enterprise culture for micro-enterprises,5987.26,Cork County
other,01.01.2009,31.12.2012,Cork Meet Website /M2,"Website development of the Cork Meet networking event which brought together local, national and international business people to exchange contact details and setup business meeting during the event.",93917.87,Cork County
other,01.01.2009,31.12.2013,Local Networks /M2,"Promotion and the development of the Food, Craft, Iinformation Technology  networks.",917.6,Cork County
other,01.01.2009,31.12.2013,Soho Solo Network /M2,"Soho Solo is the businesses who operate from home called the small office home office (soho), it's the bring together of these businesses to share ideas and contact details.",8981,Cork County
other,01.01.2009,31.12.2012,SMILE Network 6126 /M2,The smile network is based on the principle one business's waste or unused resource could become another business's raw material.,67096.83,Cork County
other,01.01.2009,31.12.2013,Organisation Membership /M2,"Membership of key organisation that support the boards in the further development of clients needs.The clients require support from very specific organisations such as the IEA (IEA stands for the Irish exporter association, which provides local training seminars and events to give our client a greater focus on exporting their products and services) and other important organisations.",4686.93,Cork County
other,01.01.2009,31.12.2013,Futurallia Network /M2,Network for clients of the boards to attend international networking business events in Europe.The cost included travel and subsistance of the clients costs.,21646.72,Cork County
other,01.01.2009,31.12.2013,Bus. Advisor 6020 /M2,CEB Staff costs,259357.41,Cork County
other,01.01.2009,31.12.2010,Cork Meet Event 2009 / M2,"3-Day Joint Cork CEBs, Cork County Council and Cork Chamber International Networking Event, held Nov.11-13th, 2009 for SMEs. Over 350 businesses attended the event. www.corkmeet.ie",30000,Cork County
other,01.01.2009,31.12.2010,Small Exporters Support Scheme 2009 / M2,Enterprise Promotion - Support Scheme to assist clients to find out if there is a market for there product/service abroad (export),2000,Cork County
other,01.07.2010,31.12.2011,Cork Schools Enterprise Programme 2010/2011/M2,M2/Enterprise Education Programme to promoter self employment and entrepreneurship in Secondary Schools,15702.35,Cork County
other,01.01.2010,31.12.2010,Advanced Food Programme 2010/M2 Training,Advanced Business Marketing & Product Development Programme for Food Businesses to develop skills and grow business,6951.14,Cork County
other,01.01.2010,31.12.2010,Big Red Book Training Programme 2010/M2 Training,Training - WCEB provided training for owners/Manager who wanted to use the Big Red Book Accounting Software system within there business and move away from the manual big red books system.,1069.7,Cork County
other,01.01.2010,31.12.2010,CAD Cork Craft Month August 2010/M2,"Enterprise Promotion: Cork Craft Month involving over 200 craft makers from across the County It is the first major programme of applied arts and craft events for the County, bringing together ceramicists, jewellers, textile-workers, furniture-makers, wood turners, paper and felt makers, sculptors and many more. The month comprises of a huge range of exhibitions, fairs and open studios, and a plethora of ""hands on"" events and workshops.",5000,Cork County
other,01.01.2010,31.12.2010,CIT Innovation Programme 2010/M2,Contribution made by each of the Cork CEBs to the running of the CIT Innovation Programme. The programme is a comprehensive approach to encouraging innovation amongst undergraduates and culminates in a competition with different categories of business. The Innovation Programme has produced a number of high quality business proposals that have gone on to succeed in other business competitions and have resulted in a number of innovative start ups.,4500,Cork County
other,01.01.2010,31.12.2010,Cork Food Forum 2010/M2,Networking Event - Jointly Hosted by Cork CEBs showcasing a number of successful Cork based Food businesses and addressed by key food Industry Speakers,2408.67,Cork County
other,01.01.2010,31.12.2011,Cork Meet Event 2010 / M2,"3-Day Joint Cork CEBs, Cork County Council and Cork Chamber International Networking Event, took place from 6th to 8th October 2010 for SMEs. Over 413 businesses attended the event. www.corkmeet.ie",10154.4,Cork County
other,01.01.2010,31.12.2010,Enterprise Month - March 2010/M2,Enterprise Promotion: Cork Enterprise Month is a concept that was developed in order to highlight the wide and comprehensive range of Enterprise related initiatives that are being promoted by the County and City Enterprise Boards in Cork during the month of March,699.62,Cork County
other,01.01.2010,31.12.2010,"FUTURALLIA 2010 - Poitiers, France / M2",Enterprise Promotion - Trade Mission to Canada to promotion Irish (Cork) enterprises,1300,Cork County
other,01.01.2010,31.12.2011,Mentoring Programme 2010/M2,Mentoring Programme for grant assisted clients to enable one to one assistance on pertinent business issues,38520.73,Cork County
other,01.01.2010,31.12.2011,National Women's Enterprise Day 18 Nov 2010 / M2,Enterprise Promotion: A National Women's Enterprise Event held in Limerick on 18 Nov 2010 to promote women enterpreurers and discuss issue women have running there own businesses,591.37,Cork County
other,01.01.2010,31.12.2011,West Cork Networks 2010 / M2,"West Cork Network is a forum for SMEs to meet on a regular basis, to network, share info and contacts and generate business. A number of Network Events are held for SMEs in West Cork throughout the year and one event is specially aimed at women in business.  Events usually had a guest speaker and networking activity.",9495.75,Cork County
other,01.01.2010,31.12.2010,On Line Marketing Training Programme 2010 / M2 Training,"On Line Marketing Training Programme provides participants with an excellent insight into the latest innovations of online marketing including: search engines & your website, blogging, search advertising, LinkedIn, Facebook, Twitter and YouTube. Learning how to integrate these tools into their marketing plan as new and inexpensive ways to market their business and increase sales.",5222.16,Cork County
other,01.01.2010,31.12.2011,Promotional Enterprise Culture /WCEB Services/2010/M2,"Promotion of an enterprise culture through the publication and distribution of materials including newsletters, flyers and training schedules for businesses. This is related to ERDF activates and no admin costs are included.",5049.34,Cork County
other,01.01.2010,31.12.2010,SHOP Exhibition & Trade Event 2010/M2,Sponsorship of Food Businesse to attend the SHOP National Food & Drinks trade Event in RDS September 2010,2584.56,Cork County
other,01.01.2010,31.12.2010,Showcase Ireland RDS 24-27 Jan 2010/M2,"Showcase is an event held in the RDS, Dublin from 24-27 Jan 2010 for Ireland's finest up-and-coming craftspeople.  Showcasing ceramics, fashion, jewellery, woodturning, glassware, textiles, sculpture and fine art.",7015.67,Cork County
